ParcelNumber,FullAddress,CurrentAssessedValue,OBJECTID
210053000,108 ROBERTSON AVE ,335205,15150102
220101130,111 STRATFORD CT ,185800,15150544
200235000,126 AZALEA DR ,227900,15149996
200259200,103 HILTON DR ,243900,15149961
21A125000,401 HARRIS RD ,252400,15150336
21A126000, HARRIS RD ,35500,15150347
21A129101,121 LODGE CREEK CIR ,161700,15150312
210115100,2323 HIGHLAND AVE ,260100,15150149
220042000,1521 BROAD AVE ,189300,15150527
22A080000,704 VILLAGE RD ,291200,15150807
210118000,2317 HIGHLAND AVE ,262800,15150130
21B004400,1113 5TH ST SW ,1031558,15150424
210013000,2221 CENTER AVE ,251700,15150053
21A099900,519 MOSELEY DR ,226200,15150413
210105600,2309 CRESTMONT AVE ,255700,15150191
210104200,1710 CHERRY AVE ,231600,15150203
200164000,101 CAMELLIA DR ,256200,15150396
220187000,1512 BROAD AVE ,198400,15150586
220101600,114 STRATFORD CT ,236500,15150574
220168000,1610 MULBERRY AVE ,211500,15150663
210028000,108 TODD AVE ,324400,15150064
22B008000,113 ELKHORN RD ,281200,15150748
220186000,1516 BROAD AVE ,202900,15150577
21A129130,127 LODGE CREEK CIR ,200500,15150286
21A037000,2517 WILLARD DR ,200800,15150240
22B037000,1606 DUBLIN RD ,292200,15150879
22A021000,1520 TRAILRIDGE RD ,291600,15150711
21A0011A0,310 CLEVELAND AVE ,130680,15150210
21A024000,405 ALLEN DR ,209400,15150279
21A099230,502-B MOSELEY DR ,160800,15150377
21A127000,407 HARRIS RD A&B,211800,15150357
210036000,115 ROBERTSON AVE ,222200,15150079
22A086000,113 VILLAGE CT ,284100,15150861
21A116000,2515 NAYLOR ST ,184100,15150285
22B005000,107 ELKHORN RD ,305700,15150759
220111300,1642 CENTER AVE ,227500,15150699
220091000,1611 CENTER AVE ,264600,15150576
22A052000,1505 TRAILRIDGE RD ,288500,15150700
220102000,2228 CENTER AVE ,236500,15150607
200140000,242 MONTE VISTA AVE ,219700,15150003
21A067000,2616 WILLARD DR ,269900,15150322
210066000,201 RAYMOND AVE ,248200,15150114
210062000,113 RAYMOND AVE ,299100,15150118
210065000,119 RAYMOND AVE ,254425,15150115
22A065000,609 SHAMROCK RD ,274220,15150728
210051000,114 ROBERTSON AVE ,293523,15150100
